"","as.numeric(sleepy_id)","sexlizard","curyear","mean_Tb_obs","mean_Tb_pred","max_Tb_obs","max_Tb_pred","min_Tb_obs","min_Tb_pred","med_Tb_obs","med_Tb_pred","lm_Tb_R2","lm_Tb_rmsd","true-","false-","true+","false+","err","true-","false-","true+","false+","err"
"19",19200,"unknown",2010,21.4944386794937,24.263001587148,40.6,42.3417186737061,6.61666666666667,6.18259477615356,20.1583333333333,23.756537437439,0.71146733488941,5.3999623946263,1013,17,602,194,0.338992332968237,211,17,602,194,0.6044921875
"20",19309,"F",2010,20.2078003569242,22.8078681846084,41.75,42.3417186737061,4.83333333333333,4.37312054634094,18.7833333333333,22.4385328292847,0.784071443460296,4.99437009738732,1350,33,454,487,0.209552495697074,286,32,454,487,0.386020651310564
"21",2368,"F",2010,22.5445618825712,25.2670604723861,38.9833333333333,42.3417186737061,7,6.18259477615356,21.4666666666667,25.5812664031982,0.609513172110462,6.03540103905226,620,40,305,303,0.272082018927445,127,32,305,303,0.439374185136897
"22",2408,"F",2010,25.7650275153882,27.3046766879988,38.5689655172414,42.3417186737061,10.5,6.05605387687683,27.1961538461538,29.530535697937,0.518472934920662,5.86924805312221,463,44,328,521,0.274336283185841,136,41,328,521,0.359649122807018
"23",31849,"1",2010,21.5072394011804,23.4458689160591,45.45,42.3417186737061,4.5,4.37312054634094,20.3333333333333,23.1487550735474,0.749187662272762,4.9908212865762,1175,12,562,306,0.279318734793187,247,11,562,306,0.508880994671403
"24",3549,"unknown",2010,20.2783960026448,22.4837350917243,39.1166666666667,42.3417186737061,5.91666666666667,4.37312054634094,18.9333333333333,22.2616090774536,0.802414613721984,4.72467614217004,975,30,321,365,0.207569485511532,209,27,321,365,0.377440347071583
"25",40009,"1",2010,20.0751516815533,22.3499518292453,42.05,41.5211505889893,3.45,4.37312054634094,18.6166666666667,21.9139621257782,0.797027636353784,4.75908600376765,1250,22,492,330,0.245463228271251,279,22,492,330,0.457702582368655
"26",40012,"F",2010,20.2456062497582,22.6751559735262,38.6166666666667,42.3417186737061,6.15,4.37312054634094,18.4583333333333,22.3098282814026,0.738671888433704,5.29368696379275,1225,21,527,305,0.263715110683349,272,18,527,305,0.485739750445633
"27",40013,"F",2010,21.4911574924519,23.0747293756028,37.7666666666667,41.5211505889893,4.08333333333333,4.98457098007202,20.475,22.5408606529236,0.779530317661556,4.54169152032417,1236,45,381,516,0.195592286501377,260,42,381,516,0.35279399499583
"28",40015,"1",2010,19.8773152819807,22.4158582885678,41.0333333333333,42.3417186737061,3.96666666666667,4.37312054634094,17.9666666666667,21.8981800079346,0.730879027987576,5.42815574041171,1544,38,604,411,0.24720831728918,349,38,604,411,0.457917261055635
"29",40022,"1",2010,20.0911827942187,21.8111105837039,38.6166666666667,41.4522571563721,5.5,4.37312054634094,18.0083333333334,20.9773058891296,0.765866439762755,5.04067163539056,1014,21,430,277,0.258897818599311,247,21,430,277,0.462564102564103
"30",40023,"unknown",2010,20.6731029105861,22.5100743130537,37.5833333333333,42.3417186737061,5.03333333333333,4.37312054634094,19,22.0372023582458,0.727895621062633,5.15097415513355,1526,52,545,477,0.229615384615385,330,47,545,477,0.423159399571122
"31",40024,"unknown",2010,21.8707412113099,22.3307612265249,39.7,42.3417186737061,3.93333333333333,4.37312054634094,21.05,21.7406516075134,0.701287857999429,5.08755744412299,1169,65,289,485,0.176294820717131,238,63,289,485,0.327441860465116
"32",40040,"F",2010,21.8628258201874,23.2951940000465,39.5166666666667,42.3417186737061,6.04545454545455,4.37312054634094,20.5333333333333,22.8123950958252,0.736985022822557,4.86439121591198,1241,46,431,473,0.217708808763122,256,39,431,473,0.391993327773144
"33",40044,"F",2010,19.9227083744408,22.0594687159131,38.05,42.3417186737061,5,4.37312054634094,18.2666666666667,21.3448662757874,0.781818463042866,4.85483257542484,1410,76,376,548,0.187551867219917,297,66,376,548,0.343434343434343
"34",40070,"1",2010,20.749786610945,22.4385486735631,39.65,42.3417186737061,5.08333333333333,4.37312054634094,19.3333333333333,21.9821791648865,0.770638305307088,4.72546930814455,1561,41,562,467,0.229190421892816,347,39,562,467,0.424734982332155
"35",40071,"unknown",2010,21.7412301429991,23.6764599604886,40.6,42.3417186737061,5,4.98457098007202,20.8166666666667,23.1487550735474,0.76904850464264,4.75504822896009,1013,45,401,368,0.244116037219485,208,34,401,368,0.43026706231454
"36",40074,"unknown",2010,21.6609537675669,23.9703850023974,41.4,42.3417186737061,4.85,4.98457098007202,20.6666666666667,23.3110952377319,0.704462332649897,5.29082572199817,945,23,442,277,0.275637225844695,213,12,442,277,0.480932203389831
"37",40077,"unknown",2010,22.1117090174679,23.7873643435239,40.4833333333333,42.3417186737061,5.71666666666667,4.98457098007202,21,23.2089736461639,0.756135971196135,4.69019366300132,1178,53,424,487,0.222689075630252,231,47,424,487,0.396131202691337
"38",40100,"unknown",2010,21.9591017040689,23.838828633269,38.5666666666667,42.3417186737061,5.3,4.98457098007202,20.7416666666666,23.2950325012207,0.634979897057374,5.69797640947117,1099,32,488,365,0.262096774193548,234,28,488,365,0.462780269058296
"39",40101,"unknown",2010,20.6610900868309,22.3070960807212,40.95,42.3417186737061,5,4.37312054634094,19.2583333333333,21.6934261322021,0.741066274509588,4.99614795228433,1455,38,540,397,0.237860082304527,317,37,540,397,0.446940356312936
