"","lon","lat","date","bodytemp","shade","depth","activity","atmos_pressure","precip","cloud_cover","Tair_local"," Tair_1.2m","RH_local","RH_1.2m","wind_local","wind_1.2m","solar_angle","solar.Wm2","Tsky","DEW","FROST","Soil0cm","Soil2.5cm","Soil5cm","Soil10cm","Soil15cm","Soil20cm","Soil30cm","Soil50cm","Soil100cm","Soil200cm"
"13",136.81,-33.19,2014-12-10 16:30:00,33.3311386108398,0,-2.5,0,100748.38,0,14.06,28.4022617340088,23.0200004577637,42.4804725646973,58.4500007629395,0.792671978473663,3.61111092567444,40.7069435119629,604.896789550781,9.73089599609375,0,0,37.2090721130371,33.2318000793457,29.4611129760742,24.3446140289307,21.8625774383545,20.8147811889648,20.5294208526611,20.1713123321533,20.0365695953369,20.0324993133545
"14",136.81,-33.19,2014-12-10 17:30:00,32.9207496643066,0,-2.5,0,100768.38,0,4.69,25.6176853179932,21.2099990844727,49.077449798584,64.0299987792969,0.815232574939728,3.7138888835907,53.2454566955566,436.376403808594,7.25320434570312,0,0,32.9057350158691,32.8233489990234,30.1688499450684,25.3912353515625,22.5219383239746,21.0799522399902,20.5462970733643,20.1762619018555,20.0369739532471,20.0324993133545
"15",136.81,-33.19,2014-12-10 18:30:00,31.3884735107422,0,-2.5,0,100898.25,0,9.38,22.5852718353271,19.6900005340576,57.5698432922363,68.7699966430664,0.814013004302979,3.70833325386047,65.6410522460938,219.097137451172,5.970703125,0,0,27.3698863983154,31.3011531829834,29.9094390869141,26.0421562194824,23.1233959197998,21.3952560424805,20.5824127197266,20.1815242767334,20.0373916625977,20.0324993133545
"16",136.81,-33.19,2014-12-10 19:30:00,28.8768157958984,0,-2.5,0,100967,0,35.94,19.1099681854248,17.6599998474121,72.9544906616211,79.9000015258789,0.826817810535431,3.76666665077209,77.7066116333008,33.6098022460938,6.040771484375,0,0,21.5201435089111,28.8042259216309,28.7793292999268,26.2311420440674,23.5790195465088,21.7232246398926,20.6379890441895,20.1874027252197,20.0378227233887,20.0324993133545
"17",136.81,-33.19,2014-12-10 20:30:00,17.7522163391113,0,0,0,101112.25,0.73,87.5,17.2036113739014,16.2700004577637,87.2294769287109,92.5599975585938,0.856085598468781,3.90000009536743,88.8123550415039,0,8.04876708984375,0,0,18.7758255004883,26.0508308410645,27.0528221130371,25.9569988250732,23.8322925567627,22.023645401001,20.7104110717773,20.1941776275635,20.038272857666,20.0324993133545
"18",136.81,-33.19,2014-12-10 21:30:00,17.0209255218506,0,0,2,101159.75,0,95.31,16.702220916748,16.0499992370605,88.8119659423828,92.5800018310547,0.878036558628082,4,90,0,8.26779174804688,0,0,17.8110523223877,23.8996028900146,25.3104438781738,25.355354309082,23.8711261749268,22.2618980407715,20.7946491241455,20.2020568847656,20.0387420654297,20.0324993133545
"19",136.81,-33.19,2014-12-10 22:30:00,16.4369812011719,0,0,2,101172.75,0.3,93.75,16.2262897491455,15.6899995803833,88.764533996582,91.8600006103516,0.867670953273773,3.95277810096741,90,0,7.81118774414062,0,0,17.133975982666,22.2983016967773,23.8374347686768,24.6193771362305,23.737247467041,22.4181804656982,20.8842391967773,20.2111568450928,20.039234161377,20.0324993133545
"20",136.81,-33.19,2014-12-10 23:30:00,15.8914175033569,0,0,2,101204,0.25,89.06,15.7437477111816,15.2700004577637,88.5284118652344,91.2600021362305,0.88413405418396,4.02777767181396,90,0,7.08917236328125,0,0,16.5512523651123,21.0146503448486,22.6304206848145,23.8673686981201,23.4916496276855,22.4903469085693,20.9726676940918,20.2214794158936,20.0397529602051,20.0324993133545
"21",136.81,-33.19,2014-12-11 00:30:00,15.2313709259033,0,0,2,101213.38,0,84.38,15.2527418136597,14.960000038147,88.065299987793,89.7399978637695,0.913402020931244,4.16111087799072,90,0,6.441650390625,0,0,15.7578744888306,19.9911003112793,21.5803089141846,23.1540451049805,23.181568145752,22.4882678985596,21.0544166564941,20.2329349517822,20.0403022766113,20.0324993133545
"22",136.81,-33.19,2014-12-11 01:30:00,15.1021862030029,0,0,2,101217.62,0.02,92.19,15.0975122451782,14.8000001907349,87.1925354003906,88.879997253418,0.950596451759338,4.33055543899536,90,0,6.78997802734375,0,0,15.6186656951904,19.0913333892822,20.7232360839844,22.4813365936279,22.8403854370117,22.4259185791016,21.1254634857178,20.2453575134277,20.0408840179443,20.0324993133545
